Country,Year,Month,Value,Year_Month
Austria,2010,01 ,2775.8000000000006,2010M01 
Austria,2010,02 ,2847.2000000000003,2010M02 
Austria,2010,03 ,2632.1999999999994,2010M03 
Austria,2010,04 ,2826.6,2010M04 
Austria,2010,05 ,2695.8999999999996,2010M05 
Austria,2010,06 ,2430.6,2010M06 
Austria,2010,07 ,2574.2999999999997,2010M07 
Austria,2010,08 ,2627.0,2010M08 
Austria,2010,09 ,2622.0,2010M09 
Austria,2010,10 ,2478.0,2010M10 
Austria,2010,11 ,2376.8,2010M11 
Austria,2010,12 ,2396.9,2010M12 
Austria,2011,01 ,2576.4,2011M01 
Austria,2011,02 ,2828.0000000000005,2011M02 
Austria,2011,03 ,2573.0000000000005,2011M03 
Austria,2011,04 ,2512.3999999999996,2011M04 
Austria,2011,05 ,2456.6,2011M05 
Austria,2011,06 ,2317.6000000000004,2011M06 
Austria,2011,07 ,2277.1,2011M07 
Austria,2011,08 ,2169.9,2011M08 
Austria,2011,09 ,2273.5000000000005,2011M09 
Austria,2011,10 ,2558.1000000000004,2011M10 
Austria,2011,11 ,2717.7999999999997,2011M11 
Austria,2011,12 ,2554.0000000000005,2011M12 
Austria,2012,01 ,2386.7,2012M01 
Austria,2012,02 ,2615.7999999999997,2012M02 
Austria,2012,03 ,2520.8999999999996,2012M03 
Austria,2012,04 ,2567.7000000000007,2012M04 
Austria,2012,05 ,2699.6,2012M05 
Austria,2012,06 ,2768.7000000000003,2012M06 
Austria,2012,07 ,2814.7000000000003,2012M07 
Austria,2012,08 ,2876.2000000000003,2012M08 
Austria,2012,09 ,2845.6,2012M09 
Austria,2012,10 ,2678.6000000000004,2012M10 
Austria,2012,11 ,2722.7999999999997,2012M11 
Austria,2012,12 ,2758.7,2012M12 
Austria,2013,01 ,2938.9,2013M01 
Austria,2013,02 ,2985.3,2013M02 
Austria,2013,03 ,3038.2999999999997,2013M03 
Austria,2013,04 ,2896.4,2013M04 
Austria,2013,05 ,2760.5000000000005,2013M05 
Austria,2013,06 ,2803.0,2013M06 
Austria,2013,07 ,3006.1000000000004,2013M07 
Austria,2013,08 ,2941.5000000000005,2013M08 
Austria,2013,09 ,3011.7,2013M09 
Austria,2013,10 ,2985.9000000000005,2013M10 
Austria,2013,11 ,3028.6000000000004,2013M11 
Austria,2013,12 ,3003.3999999999996,2013M12 
Austria,2014,01 ,3157.6,2014M01 
Austria,2014,02 ,3136.7999999999997,2014M02 
Austria,2014,03 ,3202.8999999999996,2014M03 
Austria,2014,04 ,3001.0,2014M04 
Austria,2014,05 ,2939.4000000000005,2014M05 
Austria,2014,06 ,3160.100000000001,2014M06 
Austria,2014,07 ,3162.7000000000003,2014M07 
Austria,2014,08 ,3037.500000000001,2014M08 
Austria,2014,09 ,3174.3,2014M09 
Austria,2014,10 ,3104.1999999999994,2014M10 
Austria,2014,11 ,3146.7999999999997,2014M11 
Austria,2014,12 ,3130.8,2014M12 
Austria,2015,01 ,3069.8,2015M01 
Austria,2015,02 ,3094.3,2015M02 
Austria,2015,03 ,3211.0999999999995,2015M03 
Austria,2015,04 ,3318.5999999999995,2015M04 
Austria,2015,05 ,3304.0000000000005,2015M05 
Austria,2015,06 ,3209.3,2015M06 
Austria,2015,07 ,3156.6000000000004,2015M07 
Austria,2015,08 ,3130.0999999999995,2015M08 
Austria,2015,09 ,3210.5,2015M09 
Austria,2015,10 ,3153.9,2015M10 
Austria,2015,11 ,3391.1,2015M11 
Austria,2015,12 ,3340.3,2015M12 
Austria,2016,01 ,3485.999999999999,2016M01 
Austria,2016,02 ,3524.0,2016M02 
Austria,2016,03 ,3324.7999999999997,2016M03 
Austria,2016,04 ,3381.999999999999,2016M04 
Austria,2016,05 ,3584.0,2016M05 
Austria,2016,06 ,3546.9000000000005,2016M06 
Austria,2016,07 ,3552.0000000000005,2016M07 
Austria,2016,08 ,3587.600000000001,2016M08 
Austria,2016,09 ,3479.1000000000004,2016M09 
Austria,2016,10 ,3307.9999999999995,2016M10 
Austria,2016,11 ,3266.4999999999995,2016M11 
Austria,2016,12 ,3210.3000000000006,2016M12 
Austria,2017,01 ,3259.1,2017M01 
Austria,2017,02 ,3359.8,2017M02 
Austria,2017,03 ,3298.4999999999995,2017M03 
Austria,2017,04 ,3217.4999999999995,2017M04 
Austria,2017,05 ,3147.0,2017M05 
Austria,2017,06 ,3000.399999999999,2017M06 
Austria,2017,07 ,3131.8000000000006,2017M07 
Austria,2017,08 ,3103.7000000000003,2017M08 
Austria,2017,09 ,3041.6999999999994,2017M09 
Austria,2017,10 ,2988.2,2017M10 
Austria,2017,11 ,3169.7000000000003,2017M11 
Austria,2017,12 ,3129.2,2017M12 
Austria,2018,01 ,3030.0000000000005,2018M01 
Austria,2018,02 ,2919.2,2018M02 
Austria,2018,03 ,2852.9,2018M03 
Austria,2018,04 ,2799.899999999999,2018M04 
Austria,2018,05 ,2624.3999999999996,2018M05 
Austria,2018,06 ,2736.7,2018M06 
Austria,2018,07 ,2862.7000000000007,2018M07 
Austria,2018,08 ,2811.2000000000007,2018M08 
Austria,2018,09 ,2856.9000000000005,2018M09 
Austria,2018,10 ,2825.2000000000003,2018M10 
Austria,2018,11 ,2650.9,2018M11 
Austria,2018,12 ,2758.100000000001,2018M12 
Austria,2019,01 ,2760.5000000000005,2019M01 
Austria,2019,02 ,2818.8000000000006,2019M02 
Austria,2019,03 ,2753.8,2019M03 
Austria,2019,04 ,2692.2999999999997,2019M04 
Austria,2019,05 ,2597.4,2019M05 
Austria,2019,06 ,2503.600000000001,2019M06 
Austria,2019,07 ,2610.6000000000004,2019M07 
Austria,2019,08 ,2643.9,2019M08 
Austria,2019,09 ,2541.9999999999995,2019M09 
Austria,2019,10 ,2531.2,2019M10 
Austria,2019,11 ,2370.9,2019M11 
Austria,2019,12 ,2485.2999999999997,2019M12 
Austria,2020,01 ,2519.3999999999996,2020M01 
Austria,2020,02 ,2678.5999999999995,2020M02 
Austria,2020,03 ,2708.7000000000003,2020M03 
Austria,2020,04 ,2853.9000000000005,2020M04 
Austria,2020,05 ,3360.0999999999985,2020M05 
Austria,2020,06 ,3361.7999999999997,2020M06 
Belgium,2010,01 ,5429.699999999999,2010M01 
Belgium,2010,02 ,5419.4,2010M02 
Belgium,2010,03 ,5361.8,2010M03 
Belgium,2010,04 ,5196.700000000001,2010M04 
Belgium,2010,05 ,5136.400000000001,2010M05 
Belgium,2010,06 ,5177.600000000001,2010M06 
Belgium,2010,07 ,5346.0999999999985,2010M07 
Belgium,2010,08 ,5324.0999999999985,2010M08 
Belgium,2010,09 ,5242.6,2010M09 
Belgium,2010,10 ,5088.9,2010M10 
Belgium,2010,11 ,4945.2,2010M11 
Belgium,2010,12 ,4816.899999999999,2010M12 
Belgium,2011,01 ,4526.0,2011M01 
Belgium,2011,02 ,4368.9,2011M02 
Belgium,2011,03 ,4290.900000000001,2011M03 
Belgium,2011,04 ,4209.600000000001,2011M04 
Belgium,2011,05 ,4235.1,2011M05 
Belgium,2011,06 ,4300.200000000001,2011M06 
Belgium,2011,07 ,4698.099999999999,2011M07 
Belgium,2011,08 ,4788.299999999997,2011M08 
Belgium,2011,09 ,4727.7,2011M09 
Belgium,2011,10 ,4448.799999999999,2011M10 
Belgium,2011,11 ,4382.6,2011M11 
Belgium,2011,12 ,4353.800000000001,2011M12 
Belgium,2012,01 ,4462.699999999999,2012M01 
Belgium,2012,02 ,4470.0999999999985,2012M02 
Belgium,2012,03 ,4461.799999999999,2012M03 
Belgium,2012,04 ,4449.0,2012M04 
Belgium,2012,05 ,4480.6,2012M05 
Belgium,2012,06 ,4484.700000000001,2012M06 
Belgium,2012,07 ,4684.100000000001,2012M07 
Belgium,2012,08 ,4775.500000000001,2012M08 
Belgium,2012,09 ,4863.600000000001,2012M09 
Belgium,2012,10 ,5096.200000000001,2012M10 
Belgium,2012,11 ,5224.700000000001,2012M11 
Belgium,2012,12 ,5290.600000000001,2012M12 
Belgium,2013,01 ,5339.5,2013M01 
Belgium,2013,02 ,5319.9,2013M02 
Belgium,2013,03 ,5285.500000000001,2013M03 
Belgium,2013,04 ,5297.000000000001,2013M04 
Belgium,2013,05 ,5262.700000000001,2013M05 
Belgium,2013,06 ,5263.4000000000015,2013M06 
Belgium,2013,07 ,5427.900000000001,2013M07 
Belgium,2013,08 ,5464.000000000002,2013M08 
Belgium,2013,09 ,5442.500000000001,2013M09 
Belgium,2013,10 ,5377.4,2013M10 
Belgium,2013,11 ,5360.3,2013M11 
Belgium,2013,12 ,5406.300000000001,2013M12 
Belgium,2014,01 ,5549.7,2014M01 
Belgium,2014,02 ,5532.400000000001,2014M02 
Belgium,2014,03 ,5492.000000000001,2014M03 
Belgium,2014,04 ,5372.099999999999,2014M04 
Belgium,2014,05 ,5329.8,2014M05 
Belgium,2014,06 ,5344.999999999999,2014M06 
Belgium,2014,07 ,5401.000000000001,2014M07 
Belgium,2014,08 ,5449.7,2014M08 
Belgium,2014,09 ,5446.6,2014M09 
Belgium,2014,10 ,5430.099999999999,2014M10 
Belgium,2014,11 ,5413.5,2014M11 
Belgium,2014,12 ,5446.1,2014M12 
Belgium,2015,01 ,5513.199999999999,2015M01 
Belgium,2015,02 ,5569.899999999999,2015M02 
Belgium,2015,03 ,5583.599999999999,2015M03 
Belgium,2015,04 ,5487.3,2015M04 
Belgium,2015,05 ,5366.200000000001,2015M05 
Belgium,2015,06 ,5251.700000000002,2015M06 
Belgium,2015,07 ,5170.599999999999,2015M07 
Belgium,2015,08 ,5120.899999999999,2015M08 
Belgium,2015,09 ,5177.399999999999,2015M09 
Belgium,2015,10 ,5478.000000000001,2015M10 
Belgium,2015,11 ,5579.800000000001,2015M11 
Belgium,2015,12 ,5605.700000000001,2015M12 
Belgium,2016,01 ,5319.9000000000015,2016M01 
Belgium,2016,02 ,5238.4,2016M02 
Belgium,2016,03 ,5209.1,2016M03 
Belgium,2016,04 ,5178.4,2016M04 
Belgium,2016,05 ,5105.399999999998,2016M05 
Belgium,2016,06 ,5051.799999999999,2016M06 
Belgium,2016,07 ,5051.700000000001,2016M07 
Belgium,2016,08 ,4976.900000000001,2016M08 
Belgium,2016,09 ,4820.4,2016M09 
Belgium,2016,10 ,4644.099999999999,2016M10 
Belgium,2016,11 ,4614.0999999999985,2016M11 
Belgium,2016,12 ,4682.6,2016M12 
Belgium,2017,01 ,4887.099999999999,2017M01 
Belgium,2017,02 ,4952.7,2017M02 
Belgium,2017,03 ,4865.099999999999,2017M03 
Belgium,2017,04 ,4662.5,2017M04 
Belgium,2017,05 ,4546.5,2017M05 
Belgium,2017,06 ,4511.200000000001,2017M06 
Belgium,2017,07 ,4626.099999999999,2017M07 
Belgium,2017,08 ,4614.999999999999,2017M08 
Belgium,2017,09 ,4470.499999999999,2017M09 
Belgium,2017,10 ,4247.1,2017M10 
Belgium,2017,11 ,4096.400000000001,2017M11 
Belgium,2017,12 ,4011.5000000000005,2017M12 
Belgium,2018,01 ,3951.1,2018M01 
Belgium,2018,02 ,3923.999999999999,2018M02 
Belgium,2018,03 ,3937.6,2018M03 
Belgium,2018,04 ,4055.5,2018M04 
Belgium,2018,05 ,4006.3,2018M05 
Belgium,2018,06 ,3905.9,2018M06 
Belgium,2018,07 ,3851.8,2018M07 
Belgium,2018,08 ,3756.7,2018M08 
Belgium,2018,09 ,3722.999999999999,2018M09 
Belgium,2018,10 ,3703.5999999999995,2018M10 
Belgium,2018,11 ,3724.1000000000004,2018M11 
Belgium,2018,12 ,3686.1000000000004,2018M12 
Belgium,2019,01 ,3683.6999999999994,2019M01 
Belgium,2019,02 ,3596.9,2019M02 
Belgium,2019,03 ,3575.4,2019M03 
Belgium,2019,04 ,3569.3999999999996,2019M04 
Belgium,2019,05 ,3547.9,2019M05 
Belgium,2019,06 ,3509.7999999999997,2019M06 
Belgium,2019,07 ,3501.8999999999996,2019M07 
Belgium,2019,08 ,3444.3,2019M08 
Belgium,2019,09 ,3389.0,2019M09 
Belgium,2019,10 ,3410.7999999999993,2019M10 
Belgium,2019,11 ,3381.899999999999,2019M11 
Belgium,2019,12 ,3404.499999999999,2019M12 
Belgium,2020,01 ,3277.9999999999995,2020M01 
Belgium,2020,02 ,3255.7000000000007,2020M02 
Belgium,2020,03 ,3315.6999999999994,2020M03 
Belgium,2020,04 ,3490.8000000000006,2020M04 
Belgium,2020,05 ,3493.9000000000005,2020M05 
Belgium,2020,06 ,3514.400000000001,2020M06 
Bulgaria,2010,01 ,4151.7,2010M01 
Bulgaria,2010,02 ,4348.000000000001,2010M02 
Bulgaria,2010,03 ,4430.199999999999,2010M03 
Bulgaria,2010,04 ,4508.8,2010M04 
Bulgaria,2010,05 ,4490.200000000002,2010M05 
Bulgaria,2010,06 ,4455.999999999999,2010M06 
Bulgaria,2010,07 ,4428.299999999999,2010M07 
Bulgaria,2010,08 ,4496.3,2010M08 
Bulgaria,2010,09 ,4683.299999999999,2010M09 
Bulgaria,2010,10 ,4914.999999999999,2010M10 
Bulgaria,2010,11 ,5099.200000000001,2010M11 
Bulgaria,2010,12 ,5158.4,2010M12 
Bulgaria,2011,01 ,5163.000000000001,2011M01 
Bulgaria,2011,02 ,5057.4,2011M02 
Bulgaria,2011,03 ,4959.999999999999,2011M03 
Bulgaria,2011,04 ,4946.0,2011M04 
Bulgaria,2011,05 ,4877.900000000001,2011M05 
Bulgaria,2011,06 ,4810.4,2011M06 
