Country,Year,Month,age,Value
Austria,2013,05 ,Y25-74,1026.6
Austria,2013,05 ,Y_LT25,391.0
Austria,2013,06 ,TOTAL,1358.6000000000001
Austria,2013,06 ,Y25-74,1000.4999999999999
Austria,2013,06 ,Y_LT25,443.9
Austria,2013,07 ,TOTAL,1458.6
Austria,2013,07 ,Y25-74,1076.2
Austria,2013,07 ,Y_LT25,471.3
Austria,2013,08 ,TOTAL,1431.6999999999998
Austria,2013,08 ,Y25-74,1095.0
Austria,2013,08 ,Y_LT25,414.79999999999995
Austria,2013,09 ,TOTAL,1464.9
Austria,2013,09 ,Y25-74,1129.5
Austria,2013,09 ,Y_LT25,417.3
Austria,2013,10 ,TOTAL,1449.7
Austria,2013,10 ,Y25-74,1089.9
Austria,2013,10 ,Y_LT25,446.30000000000007
Austria,2013,11 ,TOTAL,1474.5
Austria,2013,11 ,Y25-74,1147.0
Austria,2013,11 ,Y_LT25,407.09999999999997
Austria,2013,12 ,TOTAL,1458.1
Austria,2013,12 ,Y25-74,1079.5
Austria,2013,12 ,Y_LT25,465.8
Austria,2014,01 ,TOTAL,1529.2999999999997
Austria,2014,01 ,Y25-74,1117.1
Austria,2014,01 ,Y_LT25,511.2
Austria,2014,02 ,TOTAL,1524.2
Austria,2014,02 ,Y25-74,1150.3000000000002
Austria,2014,02 ,Y_LT25,462.29999999999995
Austria,2014,03 ,TOTAL,1558.1
Austria,2014,03 ,Y25-74,1183.4
Austria,2014,03 ,Y_LT25,461.4
Austria,2014,04 ,TOTAL,1458.8
Austria,2014,04 ,Y25-74,1135.3000000000002
Austria,2014,04 ,Y_LT25,406.9
Austria,2014,05 ,TOTAL,1429.8999999999999
Austria,2014,05 ,Y25-74,1110.6
Austria,2014,05 ,Y_LT25,398.9
Austria,2014,06 ,TOTAL,1536.9999999999998
Austria,2014,06 ,Y25-74,1183.0
Austria,2014,06 ,Y_LT25,440.09999999999997
Austria,2014,07 ,TOTAL,1534.3000000000002
Austria,2014,07 ,Y25-74,1154.1
Austria,2014,07 ,Y_LT25,474.3
Austria,2014,08 ,TOTAL,1479.2
Austria,2014,08 ,Y25-74,1151.0
Austria,2014,08 ,Y_LT25,407.3
Austria,2014,09 ,TOTAL,1542.1000000000001
Austria,2014,09 ,Y25-74,1193.0
Austria,2014,09 ,Y_LT25,439.2
Austria,2014,10 ,TOTAL,1510.2000000000003
Austria,2014,10 ,Y25-74,1158.1
Austria,2014,10 ,Y_LT25,435.9
Austria,2014,11 ,TOTAL,1530.9
Austria,2014,11 ,Y25-74,1178.9
Austria,2014,11 ,Y_LT25,437.0
Austria,2014,12 ,TOTAL,1523.6
Austria,2014,12 ,Y25-74,1176.7
Austria,2014,12 ,Y_LT25,430.49999999999994
Austria,2015,01 ,TOTAL,1499.0
Austria,2015,01 ,Y25-74,1218.3
Austria,2015,01 ,Y_LT25,352.5
Austria,2015,02 ,TOTAL,1508.5000000000002
Austria,2015,02 ,Y25-74,1204.9
Austria,2015,02 ,Y_LT25,380.9
Austria,2015,03 ,TOTAL,1559.9
Austria,2015,03 ,Y25-74,1195.5
Austria,2015,03 ,Y_LT25,455.70000000000005
Austria,2015,04 ,TOTAL,1613.3999999999999
Austria,2015,04 ,Y25-74,1250.3000000000002
